*	5251			
กริยาวิเศษณ์	noun	1	(grammar) (คำ~) adverb.	กริยา (grì-yaa, “verb”) + วิเศษณ์ (wí-sèet, “qualifying”). Cognate with Lao ກະຣິຍາວິເສດ (ka ri nyā wi sēt), Khmer កិរិយាវិសេសន៍ (keriyaa visaeh).
กรีก	noun	1	Greek.	From English Greek.
กรีซ	name	1	Greece (a country in Europe)	From English Greece. Cognate with Lao ເກຼັກ.
กรีฑา	noun	1	sports; athletic events	Borrowed from Sanskrit क्रीडा (krīḍā).
กรุง	noun	1	(1) capital city; city of government seat, though not being capital city. (2) (archaic) city-state; nation, country. (3) (archaic) monarch; sovereign.	From Old Khmer ក្រុង៑ (kruṅ), ក្រុង (kruṅa), កុរុង៑ (kuruṅ, “to rule, to govern; king, prince; ruler, governor; head, chief, master; kingdom, realm; city-state; etc”); ultimately from Proto-Mon-Khmer *kruŋ (“to confine”). Cognate with Modern Khmer ក្រុង (krong), Lao ກຸງ (kung).
กรุงเทพมหานคร	name	1	(1) (historical) Ayutthaya Kingdom (a kingdom based in present-day Phra Nakhon Si Ayutthaya Province, Thailand) (2) (historical) Thon Buri Kingdom (a kingdom based in present-day Thon Buri District, Thailand, the successor of Ayutthaya) (3) (historical) Rattanakosin Kingdom (a kingdom based in present-day Bangkok, Thailand, the successor of Thon Buri) (4) Bangkok (the capital city of Thailand) (5) Bangkok Metropolitan Administration, the local government of Bangkok	From กรุง (grung, “city; city-state”) + เทพ (têep, “god”) + มหา (má-hǎa, “great; high”) + นคร (ná-kɔɔn, “city; city-state”), literally “city of gods, great city”.
กรุงเทพมหานคร	name	1	The ceremonial name of Bangkok (the capital city of Thailand).	Composed of:<br>: กรุง (grung, “capital, city”), from Old Khmer ក្រុង៑ (kruṅ), ក្រុង (kruṅa), កុរុង៑ (kuruṅ, “to rule, to govern; king, prince; ruler, governor; head, chief, master; kingdom, realm; city-state; etc”),<br>: เทพ (têep, “god”), from Sanskrit देव (deva, “god, divine being”),<br>: มหา (má-hǎa, “great”), from Sanskrit महत् (mahat, “great”),<br>: นคร (ná-kɔɔn, “city”), from Sanskrit नगर (nagara, “town”),<br>: อมร (à-mɔɔn, “god, immortal; eternal”), from Sanskrit अमर (amara, “undying”),<br>: รัตนโกสินทร์ (rát-dtà-ná-goo-sǐn, “Emerald Buddha”, literally “gem of Kosindra”), from Pali कोसिय (kosiya, “name of a Brahmin clan”) + Sanskrit इन्द्र (indra, “Indra, lord”),<br>: มหินทรายุทธยา (má-hǐn-tá-raa-yút-tá-yaa, “Ayutthaya of the Great Indra, Ayutthaya of great ruler(s)”), from Sanskrit महा (mahā, “great”) + Sanskrit इन्द्र (indra, “Indra, lord”) + Sanskrit अयोध्या (ayodhyā, “unconquerable, the capital of Rāma”),<br>: มหาดิลกภพ (má-hǎa-dì-lòk-póp, “great, excellent world”), from Sanskrit महत् (mahat, “great”) + Sanskrit अति (ati, “eminent, beyond; very”) + Sanskrit लोक (loka, “world”) + Sanskrit भव (bhava, “being”); or from Sanskrit महत् (mahat, “great”) + Sanskrit तिलक (tilaka, “ornament on the forehead; best, distinguished”) + Sanskrit भव (bhava, “world; being”),<br>: นพรัตน (nóp-pá-rát, “nine gems”), from Sanskrit नव (nava, “nine”) + Sanskrit रत्न (ratna, “gem”),<br>: ราชธานี (râat-chá-taa-nii, “king's residence, capital”), from Sanskrit राजन् (rājan, “king”) + Sanskrit धानी (dhānī, “seat, receptacle”),<br>: บูรี (buu-rii, “town”), from Sanskrit पुरि (puri, “town”),<br>: รมย์ (rom, “pleasant”), from Sanskrit रम्य (ramya, “pleasant, beautiful”),<br>: อุดม (ù-dom, “abundant”), from Sanskrit उत्तम (uttama, “excellent”),<br>: ราชนิเวศน์ (râat-chá-ní-wêet, “palace”), from Sanskrit राजन् (rājan, “king”) + Sanskrit निवेशन (niveśana, “abode, entrance”),<br>: มหา (má-hǎa, “great”), from Sanskrit महत् (mahat, “great”),<br>: สถาน (sà-tǎan, “place”), from Sanskrit स्थान (sthāna, “place”),<br>: อมร (à-mɔɔn, “god, immortal; eternal”), from Sanskrit अमर (amara, “undying”),<br>: พิมาน (pí-maan, “vimāna”), from Sanskrit विमान (vimāna, “palace, celestial vehicle”),<br>: อวตาร (à-wá-dtaan, “avatāra”), from Sanskrit अवतार (avatāra, “incarnation, descent”),<br>: สถิต (sà-tìt, “to stay, to dwell”), from Sanskrit स्थित (sthita, “situated”),<br>: สักกะ (sàk-gà, “Śakra”), from Pali सक्क (sakka, “Śakra”),<br>: ทัตติย (tát-dtì-yá, “allowed, granted, presented”), from Pali दत्तिय (dattiya, “given”),<br>: วิษณุกรรม (wít-sà-nú-gam, “viśvakarmā”), ultimately from Sanskrit विश्वकर्मा (viśvakarmā), and<br>: ประสิทธิ์ (bprà-sìt, “to complete, to accomplish”), from Sanskrit प्रसिद्धि (prasiddhi, “accomplishment, success”).<br>Literally "the city of gods; the great city, [where] the gem of Kosindra [resides] in perpetuity [/where the immortal gem of Kosindra is]; the Ayutthaya of the Great Indra [/of the great ruler(s)]; the great, excellent world; the royal town of the nine gems; the town of delight, full of royal abodes; the great place; the celestial vimāna [where] avatāra dwell, [of which the erection was] accomplished by Viśvakarman on the consent of Śakra [/the (city which is the) Śakra-permitted accomplishment of Viśvakarman]".<br>Before the reign of Rama VI, the part อมรรัตนโกสินทร์ (à-mɔɔn-rát-dtà-ná-goo-sǐn) was written บวรรัตนโกสินทร์ (bɔɔn-wɔɔn-rát-dtà-ná-goo-sǐn), from บวร (bɔɔn-wɔɔn, “eminent; excellent; prominent; etc”) + รัตนโกสินทร์ (rát-dtà-ná-goo-sǐn, “Emerald Buddha”, literally “gem of Kosindra”).
กรุงเฮก	name	1	The Hague (a city, the administrative capital of the Netherlands)	From กรุง (grung) + เฮก (hék). Compare Khmer ក្រុងហេគ (krong-heek).
กรุณา	adv	1	used as a polite addition to a request, command, etc: kindly, please, etc.	Borrowed from Pali karuṇā (“compassion; pity”) or Sanskrit करुणा (karuṇā); perhaps via Old Khmer ករុណា (karuṇā), ករុនា (karunā), កុរណា (kuraṇā), កុណ៌្នា (kurṇnā), កូណ៌ា (kūrṇā), កុណ្នា (kuṇnā), កូណ៌្នា (kūrṇnā, “compassion, mercy, clemency; royal favour, kindness, or grace; royal command; etc”). Cognate with Modern Khmer ករុណា (kɑɑrunaa), Old Javanese karuṇā, Lao ກະລຸນາ (ka lu nā).
กรุณา	noun	1	(1) compassion. (2) (of a god or royal person) (พระ~) favour; kindness; grace. (3) (พระ~) used as a title for or term of address to a god or high-ranking royal or noble person.	Borrowed from Pali karuṇā (“compassion; pity”) or Sanskrit करुणा (karuṇā); perhaps via Old Khmer ករុណា (karuṇā), ករុនា (karunā), កុរណា (kuraṇā), កុណ៌្នា (kurṇnā), កូណ៌ា (kūrṇā), កុណ្នា (kuṇnā), កូណ៌្នា (kūrṇnā, “compassion, mercy, clemency; royal favour, kindness, or grace; royal command; etc”). Cognate with Modern Khmer ករុណា (kɑɑrunaa), Old Javanese karuṇā, Lao ກະລຸນາ (ka lu nā).
กรุณา	verb	1	to be compassionate; to have, feel, or show compassion; to have a heart.	Borrowed from Pali karuṇā (“compassion; pity”) or Sanskrit करुणा (karuṇā); perhaps via Old Khmer ករុណា (karuṇā), ករុនា (karunā), កុរណា (kuraṇā), កុណ៌្នា (kurṇnā), កូណ៌ា (kūrṇā), កុណ្នា (kuṇnā), កូណ៌្នា (kūrṇnā, “compassion, mercy, clemency; royal favour, kindness, or grace; royal command; etc”). Cognate with Modern Khmer ករុណា (kɑɑrunaa), Old Javanese karuṇā, Lao ກະລຸນາ (ka lu nā).
กฤติกา	name	1	(astronomy) Kṛttikā, the third of 27 nakshatras in Hindu astronomy, corresponding to the Pleiades in Western astronomy.	From Sanskrit कृत्तिका (kṛttikā).
กฤษฎา	adj	1	(elegant, archaic, poetic) done; made; performed; finished; accomplished.	From corruption of Thai กฤด.
กฤษฎา	noun	1	(elegant, archaic, poetic) act; deed; action; function; mission; task; work.	From corruption of Thai กฤด.
กฤษฎีกา	name	1	(1) (colloquial) Clipping of คณะกรรมการกฤษฎีกา (“Council of State of Thailand”). (2) (colloquial) Clipping of สำนักงานคณะกรรมการกฤษฎีกา (“Office of the Council of State of Thailand”).	From extension or corruption of กติกา (gà-dtì-gaa). Compare Khmer ក្រឹត្យ (krətyɑɑ).
กฤษฎีกา	noun	1	(1) (somewhat archaic) edict, decree; law, rule, regulation. (2) (somewhat archaic) agreement; pact. (3) (colloquial) Clipping of พระราชกฤษฎีกา (prá-râat-chá-grìt-sà-dii-gaa).	From extension or corruption of กติกา (gà-dtì-gaa). Compare Khmer ក្រឹត្យ (krətyɑɑ).
กล	conj	1	(chiefly poetic) as if; like.	From Old Khmer កល (kala, “art, cunning, ingenuity; trick, trickery, pretense; tactic, strategy; etc”). Cognate with Modern Khmer កល (kɑl).
กล	noun	1	(1) magic: the art of producing illusions. (2) trick: feat of magic; crafty or underhanded device, maneuver, etc, intended to deceive or cheat. (3) fraud; deceit. (4) engine; machine; motor.	From Old Khmer កល (kala, “art, cunning, ingenuity; trick, trickery, pretense; tactic, strategy; etc”). Cognate with Modern Khmer កល (kɑl).
กล	prep	1	(chiefly poetic) like; resembling; similarly to; characteristic of; indicative of.	From Old Khmer កល (kala, “art, cunning, ingenuity; trick, trickery, pretense; tactic, strategy; etc”). Cognate with Modern Khmer កល (kɑl).
กลด	noun	1	long-handled, large umbrella, used by royal persons and priests.	From Old Khmer ក្លស (klasa), ក្លស្ស (klassa, “large ceremonial umbrella”). Compare Modern Khmer ក្រុត (krot).
กลด	noun	1	halo: light circle around the sun, moon, etc.	From Old Khmer ក្លស (klasa), ក្លស្ស (klassa, “large ceremonial umbrella”). Compare Modern Khmer ក្រុត (krot).
กลด	noun	2	(archaic) pitcher used by Hindu priests, often containing consecrated water.	Uncertain. Possibly from Sanskrit कलश (kalaśa, “jar; pot”).
กลอง	noun	1	(music) drum.	From Proto-Tai *kloːŋᴬ (“drum”). Cognate with Lao ກອງ (kǭng), Lü ᦂᦸᧂ (k̇oang), Tai Nüa ᥐᥩᥒ (koang), Shan ၵွင် (kǎǔng), Ahom ???? (koṅ), Nong Zhuang zong, Zhuang gyong. Compare Vietnamese trống.
กลัว	verb	1	to fear, to be afraid.	Cognate with Lao ກົວ (kūa), Isan กัว, Northern Thai ᨠᩖ᩠ᩅᩫ, Khün ᨠ᩠ᩅᩫ, Lü ᦷᦂ (k̇o), Shan ၵူဝ် (kǒ), Tai Dam ꪀꪺ, Tai Nüa ᥐᥨᥝ (kow), Ahom ?? (kū).
กลั่น	verb	1	To distill, extract.	Compare Old Chinese 揀 (OC *kreːnʔ, *ɡ·reːns, “to choose, to pick”). Cognate with Lao ກັ່ນ (kan).
กลาก	noun	1	ringworm; dermatophytosis.	From Proto-Tai *klwaːkᴰ (“ringworm”). Northern Thai ᨡᩣ᩠ᨠ, Lao ກາກ (kāk), Lü ᦃᦱᧅ (ẋaak), Zhuang gyak, Tày chác.
กลาง	adj	1	(1) central; middle; mean. (2) mid. (3) common; general; public.	From Proto-Tai *klaːŋᴬ (“middle”). Cognate with Northern Thai ᨠᩖᩣ᩠ᨦ, Lao ກາງ (kāng), Lü ᦂᦱᧂ (k̇aang), Tai Nüa ᥐᥣᥒ (kaang), Shan ၵၢင် (kǎǎng), Ahom ??? (kaṅ) or ???? (klaṅ).
กลาง	noun	1	middle; center.	From Proto-Tai *klaːŋᴬ (“middle”). Cognate with Northern Thai ᨠᩖᩣ᩠ᨦ, Lao ກາງ (kāng), Lü ᦂᦱᧂ (k̇aang), Tai Nüa ᥐᥣᥒ (kaang), Shan ၵၢင် (kǎǎng), Ahom ??? (kaṅ) or ???? (klaṅ).
กลาง	prep	1	(1) in the middle of; amidst; amongst. (2) during.	From Proto-Tai *klaːŋᴬ (“middle”). Cognate with Northern Thai ᨠᩖᩣ᩠ᨦ, Lao ກາງ (kāng), Lü ᦂᦱᧂ (k̇aang), Tai Nüa ᥐᥣᥒ (kaang), Shan ၵၢင် (kǎǎng), Ahom ??? (kaṅ) or ???? (klaṅ).
กลาย	verb	1	(1) (transitive) to change; to transform; to turn. (2) (intransitive) to change, transform, turn, or grow (into, to be, etc); to become. (3) (intransitive) to turn out (that, to be, etc).	Cognate with Lao ກາຍ (kāi), Lü ᦂᦻ (k̇aay), Tai Nüa ᥐᥣᥭᥰ (käay), Shan ၵၢႆ (kǎǎǐ). Compare Khmer ក្លាយ (klaay), Mon ကၠဲာ, Vietnamese trái.
กลาโหม	noun	1	(1) (archaic) assembly of military personnel. (2) military affairs, as military service, defence matters, etc. (3) (historical) (พระ~) governmental department responsible for military affairs; chief of this department. (4) (กระทรวง~) ministry of defence.	Borrowed from Angkorian Old Khmer kralā homa, kralā homma (literally “court of sacrifices; sacrificial ground”), from kralā (“court; courtyard; ground; etc”) + homa, homma (“sacrifice; sacrificial ceremony”), itself from Sanskrit होम (homa, “oblation”), referring to the precinct of a fire worship ceremony held before marching to war. Cognate with Modern Khmer ក្រឡាហោម (krɑɑlaa haom).
กลิ่น	noun	1	smell, scent, odour.	Cognate with Northern Thai ᨠᩖᩥ᩵ᩁ, Khün ᨠᩥ᩠᩵ᨶ, Lao ກິ່ນ (kin), Lü ᦂᦲᧃᧈ (k̇iin¹).
กลิ้ง	verb	1	to roll; to rotate; to trundle	Cognate with Lao ກິ້ງ (king), Shan ၵိင်ႈ (kīng), Zhuang gingj.
